algorithm,min_cluster_sizes,min_samples,n_clusters,n_noise,noise_ratio,CH,DBI
hdbscan,50,5,4896,132861,0.18064455602644794,9171.463955278918,0.8613381514160154
hdbscan,50,10,4705,141521,0.19241913137353275,9613.115812421172,0.8402605206507678
hdbscan,50,20,4348,164588,0.2237821948297921,10901.939547762211,0.7858744066065787
hdbscan,50,50,2817,205932,0.27999559473162533,11404.679120484165,0.7131264394375787
hdbscan,100,5,1817,107569,0.14625626968944216,11220.06161127598,1.0447686624851438
hdbscan,100,10,1603,101255,0.13767143496178702,10337.616303649264,1.0471441211718502
hdbscan,100,20,1482,110475,0.1502074147193069,10828.90538858892,1.0131244363516427
hdbscan,100,50,1117,133634,0.1816955660429949,12354.581972751314,0.9555195940977038
hdbscan,200,5,743,84125,0.11438061790687208,14732.085831867687,1.246674383919357
hdbscan,200,10,668,77475,0.1053389405329559,15382.296571852172,1.2270765132152626
hdbscan,200,20,661,88982,0.1209844415166632,15974.81674241059,1.205005259036342
hdbscan,200,50,550,97745,0.13289906088923878,15464.683692850305,1.1185523937460142
hdbscan,500,5,333,72849,0.09904919624246923,19520.458469499044,1.477029953709076
hdbscan,500,10,304,71311,0.09695805341523869,20098.32679103336,1.4504874849050242
hdbscan,500,20,299,78395,0.10658981920724205,21257.88444829589,1.4295759292641526
hdbscan,500,50,295,93779,0.12750668608247914,24703.715102483402,1.3340416980474894
hdbscan,1000,5,191,80860,0.10994135826388918,25034.36931778628,1.6094857989036444
hdbscan,1000,10,186,87669,0.1191992201043396,27565.36467344073,1.6213186785981404
hdbscan,1000,20,185,95088,0.12928646889187106,27930.08263966517,1.5998466732280687
hdbscan,1000,50,174,107191,0.1457423217123985,29329.604730543622,1.4589200360601353
hdbscan,50,5,4494,136333,0.18536526337114523,9768.059120023478,0.836900650120119
hdbscan,50,10,4410,143423,0.19500518706754608,10155.341160197208,0.8159515199591315
hdbscan,50,20,4279,164103,0.22312276422432606,12211.327808996735,0.7780903723433401
hdbscan,50,50,3373,221045,0.3005439962582412,13006.620883074535,0.6799848848712882
hdbscan,100,5,1391,86666,0.11783549041922112,11032.661259433396,0.9834705188050685
hdbscan,100,10,1437,95724,0.130151206758008,11134.331457155466,0.950187211022234
hdbscan,100,20,1360,106020,0.1441501707041495,10973.177356100763,0.9311883762882303
hdbscan,100,50,1176,139784,0.1900574180504512,12114.181822177805,0.8537738396599395
hdbscan,200,5,598,60319,0.08201277255898505,19437.938357159794,1.1464369938571846
hdbscan,200,10,597,69123,0.09398313761161033,19875.8604121976,1.119584586748012
hdbscan,200,20,566,76640,0.10420363217096792,19183.306634676526,1.0652460880910333
hdbscan,200,50,494,91208,0.12401102404814252,22202.46141483522,0.9742370841646854
hdbscan,500,5,317,69355,0.09429857658164771,29520.134098524766,1.2758619978737378
hdbscan,500,10,313,69946,0.09510213016480326,30370.97202886004,1.2330485707089243
hdbscan,500,20,290,71042,0.09659230736808329,29603.934833034225,1.225535998346787
hdbscan,500,50,267,81106,0.11027583234418742,32101.7025179503,1.1491288666570747
hdbscan,1000,5,177,82115,0.11164771993370343,38158.19595969905,1.4310751195759062
hdbscan,1000,10,176,92216,0.1253815519869256,38454.38521510488,1.4201463195468618
hdbscan,1000,20,171,77499,0.10537157215054596,38070.87032134985,1.409097706933343
hdbscan,1000,50,156,80387,0.10929824346721814,41141.82195409893,1.2893392596333082
hdbscan,50,5,4494,136333,0.18536526337114523,9768.059120023478,0.836900650120119
hdbscan,50,10,4410,143423,0.19500518706754608,10155.341160197208,0.8159515199591315
hdbscan,50,20,4279,164103,0.22312276422432606,12211.327808996735,0.7780903723433401
hdbscan,50,50,3373,221045,0.3005439962582412,13006.620883074535,0.6799848848712882
hdbscan,100,5,1391,86666,0.11783549041922112,11032.661259433396,0.9834705188050685
hdbscan,100,10,1437,95724,0.130151206758008,11134.331457155466,0.950187211022234
hdbscan,100,20,1360,106020,0.1441501707041495,10973.177356100763,0.9311883762882303
hdbscan,100,50,1176,139784,0.1900574180504512,12114.181822177805,0.8537738396599395
hdbscan,200,5,598,60319,0.08201277255898505,19437.938357159794,1.1464369938571846
hdbscan,200,10,597,69123,0.09398313761161033,19875.8604121976,1.119584586748012
hdbscan,200,20,566,76640,0.10420363217096792,19183.306634676526,1.0652460880910333
hdbscan,200,50,494,91208,0.12401102404814252,22202.46141483522,0.9742370841646854
hdbscan,500,5,317,69355,0.09429857658164771,29520.134098524766,1.2758619978737378
hdbscan,500,10,313,69946,0.09510213016480326,30370.97202886004,1.2330485707089243
hdbscan,500,20,290,71042,0.09659230736808329,29603.934833034225,1.225535998346787
hdbscan,500,50,267,81106,0.11027583234418742,32101.7025179503,1.1491288666570747
hdbscan,1000,5,177,82115,0.11164771993370343,38158.19595969905,1.4310751195759062
hdbscan,1000,10,176,92216,0.1253815519869256,38454.38521510488,1.4201463195468618
hdbscan,1000,20,171,77499,0.10537157215054596,38070.87032134985,1.409097706933343
hdbscan,1000,50,156,80387,0.10929824346721814,41141.82195409893,1.2893392596333082
